,source,author,title,description,url,urlToImage,publishedAt,content
0,"{'id': 'the-verge', 'name': 'The Verge'}",Sam Byford,Apple removes app used by Hong Kong protestors after pressure from China,“This app violates our guidelines and local laws.”,https://www.theverge.com/2019/10/10/20907596/apple-hong-kong-protests-app-removed-china,https://cdn.vox-cdn.com/thumbor/CFq90vfORwtfdQoAh_WWfGh-Bc0=/0x146:2040x1214/fit-in/1200x630/cdn.vox-cdn.com/uploads/chorus_asset/file/19274659/DSCF7157.jpg,2019-10-10T04:32:15Z,"This app violates our guidelines and local laws.
Apple has removed HKmap.live, a crowdsourced mapping app used by Hong Kong protesters, from the App Store. The app and accompanying web service has been used to mark the locations of police and inform about st… [+2125 chars]"
1,"{'id': 'engadget', 'name': 'Engadget'}",Jessica Conditt,Blizzard is 'assessing the situation' after Hong Kong protest ban,"Blizzard is considering its options as players around the globe react to its decision to ban Hearthstone esports player Ng Wai Chung, known professionally as Blitzchung, after he voiced support for the protests in Hong Kong during a live post-match interview.…",https://www.engadget.com/2019/10/09/blizzard-hong-kong-ban-blitzchung-china-mei-protest-2019/,https://o.aolcdn.com/images/dims?thumbnail=1200%2C630&quality=80&image_uri=https%3A%2F%2Fo.aolcdn.com%2Fimages%2Fdims%3Fcrop%3D1390%252C664%252C209%252C0%26quality%3D85%26format%3Djpg%26resize%3D1600%252C764%26image_uri%3Dhttps%253A%252F%252Fs.yimg.com%252Fos%252Fcreatr-uploaded-images%252F2019-10%252F8f9b88f0-eac6-11e9-bde8-dfe314796d46%26client%3Da1acac3e1b3290917d92%26signature%3D3b3e09f983aa7fecb4579c74cb2b031b895067bf&client=amp-blogside-v2&signature=da80fad746f576917f72f711239c76062c04747a,2019-10-09T19:25:00Z,"[BREAKING] Hong Kong Hearthstone player @blitzchungHS calls for liberation of his country in post-game interview:https://t.co/3AgQAaPioj
@Matthieist#Hearthstonepic.twitter.com/DnaMSEaM4g
— Inven Global (@InvenGlobal) October 6, 2019
Blizzard is assessing t… [+3794 chars]"
2,"{'id': None, 'name': 'Gizmodo.com'}",Matt Novak,Viral Video Shows Hong Kong Police Shooting Teen Protester in the Chest,"Hong Kong Police shot a teen protester in the chest with live ammunition this morning, according to reports from journalists on the ground and a video that has gone viral on Facebook and Twitter. Video of the incident shows a Hong Kong police officer charging…",https://gizmodo.com/viral-video-shows-hong-kong-police-shooting-teen-protes-1838655638,"https://i.kinja-img.com/gawker-media/image/upload/s--CRX0XnoM--/c_fill,fl_progressive,g_center,h_900,q_80,w_1600/hocwjn44lwvgfjhmjsvs.jpg",2019-10-01T11:00:00Z,"Hong Kong Police shot a teen protester in the chest with live ammunition this morning, according to reports from journalists on the ground and a video that has gone viral on Facebook and Twitter. Video of the incident shows a Hong Kong police officer charging… [+2157 chars]"
3,"{'id': 'bbc-news', 'name': 'BBC News'}",https://www.facebook.com/bbcnews,Apple drops Hong Kong police-tracking app used by protesters,The company says the app has been used to target and ambush police and to threaten public safety.,https://www.bbc.co.uk/news/business-49995688,https://ichef.bbci.co.uk/news/1024/branded_news/C05F/production/_109174294_gettyimages-1174230916.jpg,2019-10-10T05:52:16Z,"Image copyrightGetty Images
Apple has removed an app that protesters in Hong Kong have used to track police movements and tear gas use, saying the app violated its rules. 
The company said the app, HKmap.live, had ""been used in ways that endanger law enforc… [+2304 chars]"
4,"{'id': 'cnn', 'name': 'CNN'}",,Hong Kong protesters clash with police for 17th week,"Protesters continue to clash with police for the 17th consecutive week, launching petrol bombs and bricks in clashes ahead of celebrations to mark the 70th anniversary of the People's Republic of China. CNN's Will Ripley reports live from Hong Kong.",https://www.cnn.com/videos/world/2019/09/29/hong-kong-protests-weekend-ripley-vpx.cnn,https://cdn.cnn.com/cnnnext/dam/assets/190929065145-hong-kong-protests-weekend-ripley-vpx-00011809-super-tease.jpg,2019-09-29T11:09:54Z,Chat with us in Facebook Messenger. Find out what's happening in the world as it unfolds.
5,"{'id': 'techcrunch', 'name': 'TechCrunch'}",Steve O'Hear,"Entrepreneur First, the ‘talent investor’, pulls out of Hong Kong","Entrepreneur First (EF), the Greylock-backed “talent investor” that recruits and backs individuals pre-team and pre-idea to enable them to found startups, is pulling out of Hong Kong, TechCrunch has learned. According to sources, the London HQ’d company build…",http://techcrunch.com/2019/10/15/ef-pulls-out-of-hong-kong/,https://techcrunch.com/wp-content/uploads/2019/01/ef.jpg?w=600,2019-10-15T15:58:34Z,"Entrepreneur First (EF), the Greylock-backed talent investor that recruits and backs individuals pre-team and pre-idea to enable them to found startups, is pulling out of Hong Kong, TechCrunch has learned.
According to sources, the London HQ’d company builde… [+2799 chars]"
6,"{'id': 'cnn', 'name': 'CNN'}",,Over 200 arrested as violence escalates in Hong Kong,Hong Kong police say a homemade explosive device was detonated near a police car as violence and vandalism escalated in the streets over the weekend. CNN's Will Ripley reports.,https://www.cnn.com/videos/world/2019/10/15/hong-kong-violence-police-arrest-protesters-ripley-pkg-intl-vpx.cnn,https://cdn.cnn.com/cnnnext/dam/assets/191014112547-04-hong-kong-unrest-1013-super-tease.jpg,2019-10-15T08:59:23Z,Chat with us in Facebook Messenger. Find out what's happening in the world as it unfolds.
7,"{'id': 'bbc-news', 'name': 'BBC News'}",https://www.facebook.com/bbcnews,China anniversary: Clashes as Hong Kong protesters defy police ban,"Thousands demonstrate against Chinese rule, and clashes with police break out at several locations.",https://www.bbc.co.uk/news/world-asia-china-49891403,https://ichef.bbci.co.uk/news/1024/branded_news/81A9/production/_109039133_mediaitem109037228.jpg,2019-10-01T09:17:14Z,"Image copyrightAFPImage caption
 Protesters have vowed to disrupt the anniversary celebrations
Thousands of people are demonstrating in Hong Kong in defiance of a protest ban for the 70th anniversary of Communist rule in China.
There have been clashes betw… [+2107 chars]"
8,"{'id': None, 'name': 'Gizmodo.com'}",Matt Novak,Apple Sells Out Pro-Democracy Protesters in Hong Kong to Appease Chinese Government,"Apple removed a smartphone app used by pro-democracy protesters in Hong Kong  late Wednesday in the tech giant’s latest capitulation to China’s authoritarian government. The app, HKmap.live, allowed users to see Hong Kong police movements via crowdsourced inf…",https://gizmodo.com/apple-sells-out-pro-democracy-protesters-in-hong-kong-t-1838932096,"https://i.kinja-img.com/gawker-media/image/upload/c_fill,f_auto,fl_progressive,g_center,h_675,pg_1,q_80,w_1200/myzpjgfdfpocnehninir.jpg",2019-10-10T11:00:00Z,"Apple removed a smartphone app used by pro-democracy protesters in Hong Kong late Wednesday in the tech giants latest capitulation to Chinas authoritarian government. The app, HKmap.live, allowed users to see Hong Kong police movements via crowdsourced inform… [+4466 chars]"
9,"{'id': None, 'name': 'Gizmodo.com'}",Matt Novak,Hong Kong Announces Ban on Masks and Face Paint That Helps Protesters Evade Facial Recognition,The Hong Kong government has banned masks and face paint in its latest attempt to stop the pro-democracy protests that have been raging since June. The new “emergency” order was announced by Hong Kong leader Carrie Lam at a press conference today and will go …,https://gizmodo.com/hong-kong-announces-ban-on-masks-and-face-paint-that-he-1838765030,"https://i.kinja-img.com/gawker-media/image/upload/s--nkRZTc8J--/c_fill,fl_progressive,g_center,h_900,q_80,w_1600/rfzxnem4fuf6x2zz2yli.jpg",2019-10-04T09:00:00Z,The Hong Kong government has banned masks and face paint in its latest attempt to stop the pro-democracy protests that have been raging since June. The new emergency order was announced by Hong Kong leader Carrie Lam at a press conference today and will go in… [+4094 chars]
10,"{'id': 'bbc-news', 'name': 'BBC News'}",https://www.facebook.com/bbcnews,Hong Kong transport system partially reopens,"Trains start running again, but a number of stations remain closed, with more protests expected.",https://www.bbc.co.uk/news/world-asia-china-49949548,https://ichef.bbci.co.uk/images/ic/1024x576/p07q6sxf.jpg,2019-10-06T01:47:35Z,"Media captionProtests resumed on Saturday after Friday's rioting
Hong Kong's transport operator MTR resumed metro service on Sunday morning, but some stations remain closed due to ""serious vandalism"". 
Services had been suspended on Saturday after stations … [+3255 chars]"
